index,ticker,year,month,open,close,high,low,SMA_10,SMA_20,EMA_10,EMA_20
0,NFLX,2018,1,196.1000061035156,270.29998779296875,286.8099975585937,195.4199981689453,,,,
1,NFLX,2018,2,266.4100036621094,291.3800048828125,297.3599853515625,236.1100006103516,,,,
2,NFLX,2018,3,292.75,295.3500061035156,333.9800109863281,275.8999938964844,,,,
3,NFLX,2018,4,291.94000244140625,312.4599914550781,338.82000732421875,271.2200012207031,,,,
4,NFLX,2018,5,310.3599853515625,351.6000061035156,356.1000061035156,305.7300109863281,,,,
5,NFLX,2018,6,353.8800048828125,391.4299926757813,423.2099914550781,352.82000732421875,,,,
6,NFLX,2018,7,385.4500122070313,337.45001220703125,419.7699890136719,328.0,,,,
7,NFLX,2018,8,335.8699951171875,367.6799926757813,376.80999755859375,310.92999267578125,,,,
8,NFLX,2018,9,366.4700012207031,374.1300048828125,383.2000122070313,335.8299865722656,,,,
9,NFLX,2018,10,375.8500061035156,301.7799987792969,386.7999877929687,271.2099914550781,329.3559997558594,,329.3559997558594,
10,NFLX,2018,11,304.5899963378906,286.1300048828125,332.04998779296875,250.0,330.9390014648437,,321.4967279607599,
11,NFLX,2018,12,293.19000244140625,267.6600036621094,298.7200012207031,231.22999572753903,328.56700134277344,,311.70823263373256,
12,NFLX,2019,1,259.2799987792969,339.5,358.8500061035156,256.5799865722656,332.98200073242185,,316.76128124578116,
13,NFLX,2019,2,337.17999267578125,358.1000061035156,371.489990234375,336.5,337.54600219726564,,324.27741303809654,
14,NFLX,2019,3,362.260009765625,356.5599975585937,379.0,342.4700012207031,338.04200134277346,,330.1469738600051,
15,NFLX,2019,4,359.0,370.5400085449219,384.7999877929687,342.2699890136719,335.9530029296875,,337.49116198453544,
16,NFLX,2019,5,374.0,343.2799987792969,385.989990234375,341.3900146484375,336.53600158691404,,338.5436777654011,
17,NFLX,2019,6,343.5599975585937,367.3200073242187,375.0,332.6499938964844,336.5000030517578,,343.77573768518613,
18,NFLX,2019,7,373.5,322.989990234375,384.760009765625,305.8099975585937,331.38600158691406,,339.99651087594776,
19,NFLX,2019,8,324.25,293.75,328.5799865722656,287.20001220703125,330.5830017089844,329.96950073242186,331.58805435304816,329.96950073242186
20,NFLX,2019,9,290.82000732421875,267.6199951171875,301.54998779296875,252.27999877929688,328.73200073242185,329.8355010986328,319.95749812834623,324.03145257859
21,NFLX,2019,10,267.3500061035156,287.4100036621094,308.75,257.010009765625,330.7070007324219,329.63700103759766,314.0397718617577,320.5436955389252
22,NFLX,2019,11,288.70001220703125,314.6600036621094,316.82000732421875,281.1400146484375,328.22300109863284,330.60250091552734,314.15254128000345,319.9833439316094
23,NFLX,2019,12,314.3900146484375,323.57000732421875,338.0,292.0199890136719,324.77000122070314,331.1580017089844,315.86480783349714,320.32493092138174
